order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order,order_status,payment_status,order_timestamp,total_amount
2539329,1,prior,1,2,8,,CANCELLED,REFUNDED,54:31.2,2418.63
2398795,1,prior,2,3,7,15,PLACED,FAILED,54:31.2,882.18
473747,1,prior,3,3,12,21,CANCELLED,REFUNDED,54:31.2,2107.37
2254736,1,prior,4,4,7,29,PLACED,FAILED,54:31.2,675.33
431534,1,prior,5,4,15,28,CANCELLED,PAID,54:31.2,979.01
3367565,1,prior,6,2,7,19,DELIVERED,PAID,54:31.2,1609.36
550135,1,prior,7,1,9,20,DELIVERED,REFUNDED,54:31.2,684.33
3108588,1,prior,8,1,14,14,PLACED,FAILED,54:31.2,1795.7
2295261,1,prior,9,1,16,0,DELIVERED,PAID,54:31.2,2339.32
2550362,1,prior,10,4,8,30,DELIVERED,FAILED,54:31.2,1234.76
1187899,1,train,11,4,8,14,PLACED,PAID,54:31.2,2187.99
2168274,2,prior,1,2,11,,CANCELLED,REFUNDED,54:31.2,1846.07
1501582,2,prior,2,5,10,10,DELIVERED,FAILED,54:31.2,193.87
1901567,2,prior,3,1,10,3,CANCELLED,PAID,54:31.2,810.49
738281,2,prior,4,2,10,8,PLACED,REFUNDED,54:31.2,2153.64
1673511,2,prior,5,3,11,8,CANCELLED,FAILED,54:31.2,526.57
1199898,2,prior,6,2,9,13,PLACED,FAILED,54:31.2,535.53
3194192,2,prior,7,2,12,14,PLACED,FAILED,54:31.2,643.83
788338,2,prior,8,1,15,27,CANCELLED,REFUNDED,54:31.2,1194.48
1718559,2,prior,9,2,9,8,PLACED,FAILED,54:31.2,628.07
1447487,2,prior,10,1,11,6,CANCELLED,PAID,54:31.2,1565.02
1402090,2,prior,11,1,10,30,CANCELLED,FAILED,54:31.2,186.35
3186735,2,prior,12,1,9,28,PLACED,REFUNDED,54:31.2,712.74
3268552,2,prior,13,4,11,30,CANCELLED,PAID,54:31.2,2086.03
839880,2,prior,14,3,10,13,CANCELLED,REFUNDED,54:31.2,1930.09
1492625,2,train,15,1,11,30,PLACED,FAILED,54:31.2,1582.29
1374495,3,prior,1,1,14,,CANCELLED,REFUNDED,54:31.2,1012.63
444309,3,prior,2,3,19,9,PLACED,FAILED,54:31.2,2088.88
3002854,3,prior,3,3,16,21,CANCELLED,PAID,54:31.2,1950.23
2037211,3,prior,4,2,18,20,CANCELLED,PAID,54:31.2,252.14
2710558,3,prior,5,0,17,12,PLACED,FAILED,54:31.2,923.05
1972919,3,prior,6,0,16,7,CANCELLED,FAILED,54:31.2,1384.15
1839752,3,prior,7,0,15,7,CANCELLED,PAID,54:31.2,1260.1
3225766,3,prior,8,0,17,7,DELIVERED,PAID,54:31.2,2395.08
3160850,3,prior,9,0,16,7,CANCELLED,PAID,54:31.2,2380.02
676467,3,prior,10,3,16,17,DELIVERED,PAID,54:31.2,2060.87
521107,3,prior,11,0,18,11,PLACED,PAID,54:31.2,1024.31
1402502,3,prior,12,1,15,15,DELIVERED,REFUNDED,54:31.2,2388.17
2774568,3,test,13,5,15,11,CANCELLED,PAID,54:31.2,444.04
3343014,4,prior,1,6,11,,DELIVERED,PAID,54:31.2,1016.9
2030307,4,prior,2,4,11,19,DELIVERED,FAILED,54:31.2,984.77
691089,4,prior,3,4,15,21,DELIVERED,FAILED,54:31.2,367.04
94891,4,prior,4,5,13,15,CANCELLED,FAILED,54:31.2,2223.99
2557754,4,prior,5,5,13,0,DELIVERED,FAILED,54:31.2,2221.03
329954,4,test,6,3,12,30,PLACED,FAILED,54:31.2,2196.62
2717275,5,prior,1,3,12,,CANCELLED,REFUNDED,54:31.2,2038.79
1909121,5,prior,2,0,16,11,DELIVERED,REFUNDED,54:31.2,1417.35
2267326,5,prior,3,3,18,10,DELIVERED,FAILED,54:31.2,1671.51
157374,5,prior,4,1,18,19,PLACED,FAILED,54:31.2,2144.03
2196797,5,train,5,0,11,6,CANCELLED,REFUNDED,54:31.2,416.52
2086598,6,prior,1,5,18,,PLACED,FAILED,54:31.2,1199.69
298250,6,prior,2,4,16,6,DELIVERED,REFUNDED,54:31.2,1635.51
998866,6,prior,3,2,18,12,CANCELLED,PAID,54:31.2,183.27
1528013,6,test,4,3,16,22,DELIVERED,REFUNDED,54:31.2,183.21
2565571,7,prior,1,3,9,,DELIVERED,FAILED,54:31.2,1186.61
2402008,7,prior,2,1,19,30,PLACED,FAILED,54:31.2,750.81
121053,7,prior,3,0,18,30,PLACED,PAID,54:31.2,734.11
1695742,7,prior,4,2,10,9,PLACED,FAILED,54:31.2,830.19
3321109,7,prior,5,5,18,3,PLACED,FAILED,54:31.2,743.96
1682003,7,prior,6,1,18,10,DELIVERED,FAILED,54:31.2,628.47
1014379,7,prior,7,1,15,7,DELIVERED,FAILED,54:31.2,2140.81
776265,7,prior,8,2,12,8,CANCELLED,REFUNDED,54:31.2,1887.71
2507052,7,prior,9,6,7,4,PLACED,FAILED,54:31.2,1383.05
1396119,7,prior,10,1,20,9,CANCELLED,FAILED,54:31.2,689.73
565870,7,prior,11,0,15,6,DELIVERED,FAILED,54:31.2,1401.39
3239072,7,prior,12,0,14,7,DELIVERED,FAILED,54:31.2,2455.92
1175028,7,prior,13,5,15,5,PLACED,PAID,54:31.2,1569.51
3060817,7,prior,14,1,13,17,CANCELLED,REFUNDED,54:31.2,1681.64
3120740,7,prior,15,3,16,2,PLACED,REFUNDED,54:31.2,918.42
2425840,7,prior,16,0,13,11,PLACED,PAID,54:31.2,1636.22
23391,7,prior,17,0,10,28,DELIVERED,PAID,54:31.2,762.58
2984707,7,prior,18,0,9,7,DELIVERED,REFUNDED,54:31.2,507.43
369015,7,prior,19,3,12,3,PLACED,PAID,54:31.2,489.4
2452257,7,prior,20,3,9,7,CANCELLED,FAILED,54:31.2,1577.47
525192,7,train,21,2,11,6,PLACED,FAILED,54:31.2,1776.09
600894,8,prior,1,6,0,,CANCELLED,PAID,54:31.2,905.08
2979257,8,prior,2,1,8,30,CANCELLED,REFUNDED,54:31.2,926.76
2570360,8,prior,3,5,0,30,CANCELLED,FAILED,54:31.2,1568.18
880375,8,train,4,1,14,10,CANCELLED,REFUNDED,54:31.2,2282.68
280530,9,prior,1,1,17,,DELIVERED,FAILED,54:31.2,1115.89
2762092,9,prior,2,0,14,6,PLACED,REFUNDED,54:31.2,2230.83
1830137,9,prior,3,5,12,30,PLACED,PAID,54:31.2,1396.6
1094988,9,train,4,6,10,30,PLACED,FAILED,54:31.2,1038.21
1224907,10,prior,1,2,14,,CANCELLED,FAILED,54:31.2,1514.38
68288,10,prior,2,5,15,30,PLACED,FAILED,54:31.2,2497.05
2115522,10,prior,3,3,19,12,DELIVERED,FAILED,54:31.2,1804.11
83395,10,prior,4,3,15,14,PLACED,FAILED,54:31.2,1178.04
1353310,10,prior,5,5,20,23,CANCELLED,PAID,54:31.2,445.81
1822501,10,train,6,0,19,30,PLACED,PAID,54:31.2,246.97
2411567,11,prior,1,0,11,,DELIVERED,FAILED,54:31.2,2276.38
1170872,11,prior,2,5,11,12,PLACED,PAID,54:31.2,1904.63
2840752,11,prior,3,5,10,14,CANCELLED,REFUNDED,54:31.2,305.88
1611810,11,prior,4,5,13,30,PLACED,PAID,54:31.2,1714.5
2921164,11,prior,5,5,11,30,DELIVERED,REFUNDED,54:31.2,1144.61
790927,11,prior,6,5,11,7,CANCELLED,PAID,54:31.2,617.1
1468214,11,prior,7,5,9,30,CANCELLED,REFUNDED,54:31.2,1559.41
1376945,11,test,8,6,11,8,DELIVERED,PAID,54:31.2,2494.06
1483446,12,prior,1,1,12,,DELIVERED,REFUNDED,54:31.2,962.58
1247527,12,prior,2,5,9,30,DELIVERED,PAID,54:31.2,957.94
1916106,12,prior,3,5,8,14,PLACED,PAID,54:31.2,2330.39
