order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2539329,1,prior,1,2,8,
2398795,1,prior,2,3,7,15
473747,1,prior,3,3,12,21
2254736,1,prior,4,4,7,29
431534,1,prior,5,4,15,28
3367565,1,prior,6,2,7,19
550135,1,prior,7,1,9,20
3108588,1,prior,8,1,14,14
2295261,1,prior,9,1,16,0
2550362,1,prior,10,4,8,30
1187899,1,train,11,4,8,14
2168274,2,prior,1,2,11,
1501582,2,prior,2,5,10,10
1901567,2,prior,3,1,10,3
738281,2,prior,4,2,10,8
1673511,2,prior,5,3,11,8
1199898,2,prior,6,2,9,13
3194192,2,prior,7,2,12,14
788338,2,prior,8,1,15,27
1718559,2,prior,9,2,9,8
1447487,2,prior,10,1,11,6
1402090,2,prior,11,1,10,30
3186735,2,prior,12,1,9,28
3268552,2,prior,13,4,11,30
839880,2,prior,14,3,10,13
1492625,2,train,15,1,11,30
1374495,3,prior,1,1,14,
444309,3,prior,2,3,19,9
3002854,3,prior,3,3,16,21
2037211,3,prior,4,2,18,20
2710558,3,prior,5,0,17,12
1972919,3,prior,6,0,16,7
1839752,3,prior,7,0,15,7
3225766,3,prior,8,0,17,7
3160850,3,prior,9,0,16,7
676467,3,prior,10,3,16,17
521107,3,prior,11,0,18,11
1402502,3,prior,12,1,15,15
2774568,3,test,13,5,15,11
3343014,4,prior,1,6,11,
2030307,4,prior,2,4,11,19
691089,4,prior,3,4,15,21
94891,4,prior,4,5,13,15
2557754,4,prior,5,5,13,0
329954,4,test,6,3,12,30
2717275,5,prior,1,3,12,
1909121,5,prior,2,0,16,11
2267326,5,prior,3,3,18,10
157374,5,prior,4,1,18,19
2196797,5,train,5,0,11,6
2086598,6,prior,1,5,18,
298250,6,prior,2,4,16,6
998866,6,prior,3,2,18,12
1528013,6,test,4,3,16,22
2565571,7,prior,1,3,9,
2402008,7,prior,2,1,19,30
121053,7,prior,3,0,18,30
1695742,7,prior,4,2,10,9
3321109,7,prior,5,5,18,3
1682003,7,prior,6,1,18,10
1014379,7,prior,7,1,15,7
776265,7,prior,8,2,12,8
2507052,7,prior,9,6,7,4
1396119,7,prior,10,1,20,9
